"Категория","Предмет","Оборачиваемость дни","Доступность товара для клиента"
"Строительные инструменты","Съемники подшипников","4","Дефицит товара"
"Все для садоводства","Мульча","41","Дефицит товара"
"Автомобильные товары","Сальники КПП","7","Дефицит товара"
"Смартфоны и аксессуары","Муляжи мобильных телефонов","56","Дефицит товара"
"Спортивный товар","Рога на руль","115","Нормальная доступность товара"
"Профессиональные музыкальные инструменты","Пэды","15","Дефицит товара"
"Оргтехника","Шредеры","12","Дефицит товара"
"Рукоделие","Сундучки для рукоделия","29","Дефицит товара"
"Канцелярские товары","Пломбы","25","Дефицит товара"
"Спецодежда и СИЗы","Маски многоразовые","208","Избыток товара"
"Спортивный товар","Самостраховки","155","Избыток товара"
"Автомобильные товары","Накладки на педали","20","Дефицит товара"
"Телевизоры и аудиотехника","Колонки","18","Дефицит товара"
"Фото и Видеотехника","Передатчики видеосигнала","14","Дефицит товара"
"Спортивная обувь","Акваноски","100","Нормальная доступность товара"
"Продукты","Редис","207","Избыток товара"
"Продукты","Тортилья","45","Дефицит товара"
"Здоровье","Термопеналы для инсулина","11","Дефицит товара"
"Канцелярские товары","Обложки для книг","154","Избыток товара"
"Игрушки","Качалки","10","Дефицит товара"
"Бытовая техника","Сауны для лица","28","Дефицит товара"
"Одежда для малышей","Бомберы для малышей","307","Избыток товара"
"Строительные инструменты","Шлифовальные машины","14","Дефицит товара"
"Посуда и инвентарь","Зубочистки","32","Дефицит товара"
"Канцелярские товары","Губки для маркерных досок","56","Дефицит товара"
"Строительные инструменты","Пандусы","3","Дефицит товара"
"Спецодежда и СИЗы","Фильтры для респираторов","40","Дефицит товара"
"Дом","Ароматические украшения","37","Дефицит товара"
"Электроника","Кронштейны для планшетов","3","Дефицит товара"
"Строительные инструменты","Клещи строительные","11","Дефицит товара"
"Автомобильные товары","Велобагажники на авто","9","Дефицит товара"
"Спортивные аксессуары","Гермочехлы","184","Избыток товара"
"Для праздника","Украшения для посуды","56","Дефицит товара"
"Дом","Полотенца банные","32","Дефицит товара"
"Спортивная одежда","Майки спортивные","99","Нормальная доступность товара"
"Фото и Видеотехника","Кейсы для камер","33","Дефицит товара"
"Посуда и инвентарь","Воки","38","Дефицит товара"
"Посуда и инвентарь","Кофейные наборы","24","Дефицит товара"
"Автомобильные товары","Аксессуары для автоприцепов","18","Дефицит товара"
"Для праздника","Насосы для шариков","50","Дефицит товара"
"Спортивный товар","Переключатели велосипедные","38","Дефицит товара"
"Здоровье","Термометры медицинские","14","Дефицит товара"
"Автомобильные товары","Колодки для квадроциклов","99","Нормальная доступность товара"
"Аксессуары для волос","Твистеры","49","Дефицит товара"
"Для праздника","Гирлянды","9","Дефицит товара"
"Рукоделие","Нитевдеватели","22","Дефицит товара"
"Товары для малышей","Трубки газоотводные для новорожденных","47","Дефицит товара"
"Профессиональные музыкальные инструменты","Укулеле","12","Дефицит товара"
"Товары для животных","Аквариумы","12","Дефицит товара"
"Периферия и аксессуары","Комплекты клавиатур и мышей","24","Дефицит товара"
"Белье для малышей","Термофутболки для малышей","27","Дефицит товара"
"Продукты","Яблоки","6","Дефицит товара"
"Все для садоводства","Аксессуары для пруда","65","Нормальная доступность товара"
"Спортивные аксессуары","Связки для лыж","38","Дефицит товара"
"Рукоделие","Лезвия для раскройных ножей","14","Дефицит товара"
"Все для садоводства","Горшки для рассады","43","Дефицит товара"
"Продукты","Консерванты","9","Дефицит товара"
"Красота","Футляры для тампонов и прокладок","78","Нормальная доступность товара"
"Автомобильные товары","Кожухи автомобильные","0","Дефицит товара"
"Садовая техника","Навесное оборудование для культиваторов","0","Дефицит товара"
"Автомобильные товары","Лебедки для квадроциклов","2","Дефицит товара"
"Спортивная одежда","Полукомбинезоны спортивные","66","Нормальная доступность товара"
"Профессиональные музыкальные инструменты","Трости для скрипки","999","Избыток товара"
"Бытовая техника","Стерилизаторы косметологические","18","Дефицит товара"
"Канцелярские товары","Чернила","37","Дефицит товара"
"Продукты","Фасоль","13","Дефицит товара"
"Товары для отдыха и кемпинга","Аксессуары для чистки бассейна","54","Дефицит товара"
"Фото и Видеотехника","Термобумага для фотоаппаратов","9","Дефицит товара"
"Товары для животных","Сумки для лакомств","76","Нормальная доступность товара"
"Умный дом и безопасность","Умные розетки","6","Дефицит товара"
"Красота","Подставки для парикмахерских инструментов","41","Дефицит товара"
"Товары для животных","Поплавковые поилки","0","Дефицит товара"
"Продукты","Загустители","21","Дефицит товара"
"Автомобильные товары","Коврики автомобильные","6","Дефицит товара"
"Одежда","Карнавальные костюмы","8","Дефицит товара"
"Посуда и инвентарь","Бомбильи","37","Дефицит товара"
"Техника для кухни","Кипятильники","24","Дефицит товара"
"Товары для малышей","Ручки для бутылочек","999","Избыток товара"
"Канцелярские товары","Лезвия для канцелярских ножей","39","Дефицит товара"
"Книжная продукция и диски","Книги","50","Дефицит товара"
"Продукты","Полба","26","Дефицит товара"
"Спортивный товар","Хоббихорсы","2","Дефицит товара"
"Посуда и инвентарь","Сепараторы для яиц","50","Дефицит товара"
"Автомобильные товары","Масла вилочные","4","Дефицит товара"
"Строительные инструменты","Шуруповерты","26","Дефицит товара"
"Все для садоводства","Колышки садовые","85","Нормальная доступность товара"
"Автомобильные товары","Сигналы звуковые пневмо-электрические","14","Дефицит товара"
"Электроника","Подставки для бытовой техники","19","Дефицит товара"
"Строительные инструменты","Щупы для мультиметров","13","Дефицит товара"
"Спортивная обувь","Пуанты","17","Дефицит товара"
"Канцелярские товары","Кистемойки","18","Дефицит товара"
"Строительные материалы","Добавки для жидких обоев","16","Дефицит товара"
"Белье","Термотрусы","96","Нормальная доступность товара"
"Белье","Термомайки","33","Дефицит товара"
"Товары для отдыха и кемпинга","Средства для чистки грилей","64","Нормальная доступность товара"
"Канцелярские товары","Бейджи","48","Дефицит товара"
"Строительные материалы","Кровля наплавляемая","132","Избыток товара"
"Здоровье","Пессарии","22","Дефицит товара"
"Хозяйственные товары","Бумажные салфетки","28","Дефицит товара"
"Товары для животных","Гамаки для животных","47","Дефицит товара"
"Все для садоводства","Формы для садовых дорожек","58","Дефицит товара"
"Здоровье","Кружки Эсмарха","20","Дефицит товара"
"Аксессуары для обуви","Колодки обувные","41","Дефицит товара"
"Белье для малышей","Термоводолазки для малышей","999","Избыток товара"
"Сантехника","Ролики для душевой кабины","33","Дефицит товара"
"Строительные инструменты","Детекторы металла","6","Дефицит товара"
"Товары для животных","Термометры для животных","28","Дефицит товара"
"Посуда и инвентарь","Спиртометры","20","Дефицит товара"
"Канцелярские товары","Канцелярские наборы","28","Дефицит товара"
"Посуда и инвентарь","Подставки для варки на пару","34","Дефицит товара"
"Игрушки","Фингерборды","48","Дефицит товара"
"Посуда и инвентарь","Открывалки","28","Дефицит товара"
"Мебель","Обеденные группы","13","Дефицит товара"
"Спортивный товар","Тренажеры для подъема стопы","77","Нормальная доступность товара"
"Здоровье","Корректоры осанки","65","Нормальная доступность товара"
"Канцелярские товары","Туши для рисования","2","Дефицит товара"
"Посуда и инвентарь","Бочонки для напитков","26","Дефицит товара"
"Аксессуары для волос","Сетки для волос","36","Дефицит товара"
"Спортивная обувь","Джазовки","63","Нормальная доступность товара"
"Продукты","Шиповник","7","Дефицит товара"
"Профессиональные музыкальные инструменты","Колки для гитары","6","Дефицит товара"
"Аксессуары","Часы-кулон","23","Дефицит товара"
"Торговое оборудование","Детекторы валют","72","Нормальная доступность товара"
"Спортивный товар","Трапеции спортивные","107","Нормальная доступность товара"
"Продукты","Порошки соевые","9","Дефицит товара"
"Детское питание","Смеси диетические детские","43","Дефицит товара"
"Автомобильные товары","Замки зажигания","5","Дефицит товара"
"Продукты","Напитки сокосодержащие","38","Дефицит товара"
"Автомобильные товары","Ракели","35","Дефицит товара"
"Спортивный товар","Кошки для альпинизма","5","Дефицит товара"
"Спортивный товар","Ботинки гравитационные","16","Дефицит товара"
"Автомобильные товары","Наборы автомобильных инструментов","12","Дефицит товара"
"Посуда и инвентарь","Ножи для пиццы","37","Дефицит товара"
"Ноутбуки и компьютеры","Жесткие диски","42","Дефицит товара"
"Товары для малышей","Салфетки для груди","57","Дефицит товара"
"Электроника","NFC наклейки","107","Нормальная доступность товара"
"Товары для малышей","Матрасы пеленальные","23","Дефицит товара"
"Продукты","Холодные чаи","6","Дефицит товара"
"Посуда и инвентарь","Пьезозажигалки","16","Дефицит товара"
"Продукты","Фруктовые наборы","54","Дефицит товара"
"Сантехника","Комплекты для монтажа радиаторов","5","Дефицит товара"
"Шторы и аксессуары","Тюль","19","Дефицит товара"
"Здоровье","Гели акушерские","3","Дефицит товара"
"Спортивный товар","Спусковые устройства","53","Дефицит товара"
"Спортивный товар","Запчасти для самоката","21","Дефицит товара"
"Одежда","Жилеты утепленные","146","Избыток товара"
"Красота","Декор для маникюра","45","Дефицит товара"
"Профессиональные музыкальные инструменты","Кахоны","2","Дефицит товара"
"Дом","Ручки для душевых кабин","19","Дефицит товара"
"Посуда и инвентарь","Очки кухонные","78","Нормальная доступность товара"
"Бытовая техника","Навигация для робот-пылесосов","0","Дефицит товара"
"Дом","Наборы аксессуаров для ванн","26","Дефицит товара"
"Строительные материалы","Салфетки для полировки","106","Нормальная доступность товара"
"Хранение вещей","Штанги для вешалок","17","Дефицит товара"
"Для праздника","Бумажные шары","30","Дефицит товара"
"Спортивный товар","Ремкомплекты для туристических палаток","14","Дефицит товара"
"Товары для малышей","Прорезыватели","63","Нормальная доступность товара"
"Одежда для малышей","Накидки для малышей","21","Дефицит товара"
"Белье для малышей","Колготки для малышей","120","Нормальная доступность товара"
"Строительные инструменты","Стамески","9","Дефицит товара"
"Спортивный товар","Малечницы","5","Дефицит товара"
"Канцелярские товары","Готовальня","179","Избыток товара"
"Рукоделие","Иглы для рукоделия","28","Дефицит товара"
"Товары для животных","Клапаны для аквариумных компрессоров","10","Дефицит товара"
"Товары для отдыха и кемпинга","Бондарные изделия","32","Дефицит товара"
"Аксессуары","Шнурки для телефонов","51","Дефицит товара"
"Спортивный товар","Репелленты","266","Избыток товара"
"Спортивный товар","Багорики","12","Дефицит товара"
"Автомобильные товары","Тросы подсоса","999","Избыток товара"
"Спортивные аксессуары","Пояса для похудения","79","Нормальная доступность товара"
"Строительные материалы","Отбеливатели древесины","0","Дефицит товара"
"Автомобильные товары","Приводы автомобильные","0","Дефицит товара"
"Красота","Манекены для татуажа","23","Дефицит товара"
"Аксессуары","Чехлы для игровых консолей","22","Дефицит товара"
"Смартфоны и аксессуары","Аккумуляторы для смарт-часов","3","Дефицит товара"
"Электроника","Генераторы водородной воды","46","Дефицит товара"
"Все для садоводства","Веревки садовые","52","Дефицит товара"
"Спортивные аксессуары","Крепления для лыж","18","Дефицит товара"
"Ювелирные украшения","Ювелирные браслеты","51","Дефицит товара"
"Спортивный товар","Доски для плавания","49","Дефицит товара"
"Электроника","Брелоки-локаторы","23","Дефицит товара"
"Для праздника","Наборы для праздника","30","Дефицит товара"
"Товары для взрослых","Топы эротик","74","Нормальная доступность товара"
"Профессиональные музыкальные инструменты","Бас-гитары","25","Дефицит товара"
"Товары для животных","Вакуумные поилки","6","Дефицит товара"
"Продукты","Баурсак","0","Дефицит товара"
"Техника для кухни","Дымогенераторы для копчения","13","Дефицит товара"
"Автомобильные товары","Масла моторные","5","Дефицит товара"
"Спортивный товар","Бинты спортивные","57","Дефицит товара"
"Красота","Маски альгинатные","41","Дефицит товара"
"Детское питание","Кисели детские","61","Нормальная доступность товара"
"Бытовая техника","Сетки для бритв","1","Дефицит товара"
"Красота","Пушеры маникюрные","51","Дефицит товара"
"Автомобильные товары","Суппорты тормозные","1","Дефицит товара"
"Все для садоводства","Таблички садовые","33","Дефицит товара"
"Автомобильные товары","Лампы сигнальные","0","Дефицит товара"
"Спецодежда и СИЗы","Пленки для панорамных масок","10","Дефицит товара"
"Продукты","Киноа","14","Дефицит товара"
"Строительные инструменты","Выключатели автоматические","59","Дефицит товара"
"Спортивный товар","Жилеты утяжелители","35","Дефицит товара"
"Одежда","Платья","56","Дефицит товара"
"Канцелярские товары","Корректирующая жидкость","65","Нормальная доступность товара"
"Дом","Копилки","16","Дефицит товара"
"Красота","Шиммер для ванн","25","Дефицит товара"
"Продукты","Зефир","12","Дефицит товара"
"Автомобильные товары","Сирены неавтономные","11","Дефицит товара"
"Строительные инструменты","Шприцы плунжерные","26","Дефицит товара"
"Посуда и инвентарь","Ковши","30","Дефицит товара"
"Профессиональные музыкальные инструменты","Ксилофоны","16","Дефицит товара"
"Красота","Бинты для обертывания","41","Дефицит товара"
"Товары для курения","Сетки для кальяна","14","Дефицит товара"
"Сантехника","Прокладки сантехнические","17","Дефицит товара"
"Садовая техника","Насадки для шлангов","106","Нормальная доступность товара"
"Спецодежда и СИЗы","Каски защитные","18","Дефицит товара"
"Строительные инструменты","Граверы","9","Дефицит товара"
"Продукты","Безалкогольное шампанское","8","Дефицит товара"
"Посуда и инвентарь","Ступки","17","Дефицит товара"
"Аксессуары для малышей","Снуды для малышей","84","Нормальная доступность товара"
"Товары для взрослых","Чулки эротик","29","Дефицит товара"
"Обувь","Сапоги","74","Нормальная доступность товара"
"Умный дом и безопасность","Видеокамеры цифровые","18","Дефицит товара"
"Дом","Ночники","20","Дефицит товара"
"Спортивный товар","Смазки для велосипеда","65","Нормальная доступность товара"
"Телевизоры и аудиотехника","Приемники видеосигнала","21","Дефицит товара"
"Строительные инструменты","Фрезеры","8","Дефицит товара"
"Техника для кухни","Воздуховоды для вытяжек","7","Дефицит товара"
"Здоровье","Презервативы","73","Нормальная доступность товара"
"Профессиональные музыкальные инструменты","Трости для саксофонов","2","Дефицит товара"
"Спортивный товар","Футы","23","Дефицит товара"
"Посуда и инвентарь","Приборы для удаления косточек","85","Нормальная доступность товара"
"Товары для отдыха и кемпинга","Качели садовые","8","Дефицит товара"
"Белье","Майки бельевые","74","Нормальная доступность товара"
"Хозяйственные товары","Уход за разделочными досками","39","Дефицит товара"
"Здоровье","Салфетки медицинские","73","Нормальная доступность товара"
"Рукоделие","Подшивы","15","Дефицит товара"
"Все для садоводства","Туалеты-ведра","5","Дефицит товара"
"Телевизоры и аудиотехника","Ресиверы телевизионные","13","Дефицит товара"
"Ноутбуки и компьютеры","Прочие аксессуары для ноутбуков","43","Дефицит товара"
"Товары для отдыха и кемпинга","Подставки для дров","11","Дефицит товара"
"Автомобильные товары","Помпы автомобильные","4","Дефицит товара"
"Периферия и аксессуары","Разветвители","23","Дефицит товара"
"Сантехника","Каркасы для ванн","5","Дефицит товара"
"Строительные материалы","Комплектующие для теплых полов","13","Дефицит товара"
"Электроника","Внешние звуковые карты","13","Дефицит товара"
"Красота","Туши","29","Дефицит товара"
"Спортивные аксессуары","Ногавки для лошадей","90","Нормальная доступность товара"
"Автомобильные товары","Автохимия","29","Дефицит товара"
"Белье","Боди","52","Дефицит товара"
"Дом","Доски для записей","11","Дефицит товара"
"Все для садоводства","Торфы","25","Дефицит товара"
"Товары для отдыха и кемпинга","Принадлежности для гриля и барбекю","47","Дефицит товара"
"Для праздника","Открытки","32","Дефицит товара"
"Товары для взрослых","Ролевые костюмы эротик","37","Дефицит товара"
"Красота","Активаторы клея для ресниц","35","Дефицит товара"
"Автомобильные товары","Корректоры угла наклона фар","0","Дефицит товара"
"Садовые инструменты","Контейнеры садовые","25","Дефицит товара"
"Для праздника","Подставки для елок","13","Дефицит товара"
"Мебель","Полки для телевизора","7","Дефицит товара"
"Техника для кухни","Йогуртницы","23","Дефицит товара"
"Товары для животных","Другие приспособления для крупно-рогатого скота","0","Дефицит товара"
"Аксессуары для обуви","Губки для обуви","57","Дефицит товара"
"Игрушки","Аксессуары для детской мебели","12","Дефицит товара"
"Автомобильные товары","Багажные боксы","21","Дефицит товара"
"Строительные материалы","Теплоизоляция","3","Дефицит товара"
"Автомобильные товары","Пленки антидождь","46","Дефицит товара"
"Посуда и инвентарь","Точилки для ножей","35","Дефицит товара"
"Электроника","Генераторы мыльных пузырей","5","Дефицит товара"
"Профессиональные музыкальные инструменты","Барабанные палочки","16","Дефицит товара"
"Спортивный товар","Аксессуары для коньков","14","Дефицит товара"
"Смартфоны и аксессуары","Чехлы с держателем для телефонов","53","Дефицит товара"
"Канцелярские товары","Ручки","38","Дефицит товара"
"Строительные инструменты","Пылеотвод для болгарки","3","Дефицит товара"
"Крупная бытовая техника","Сушильные машины","999","Избыток товара"
"Смартфоны и аксессуары","Защитная пленка","21","Дефицит товара"
"Посуда и инвентарь","Виномеры","22","Дефицит товара"
"Сантехника","Люки канализационные","23","Дефицит товара"
"Посуда и инвентарь","Паштетницы","29","Дефицит товара"
"Крупная бытовая техника","Холодильные витрины","999","Избыток товара"
"Продукты","Молоко растительное","31","Дефицит товара"
"Хранение вещей","Насосы вакуумные","44","Дефицит товара"
"Строительные материалы","Контакторы","174","Избыток товара"
"Красота","Палитры для смешивания косметики","34","Дефицит товара"
"Спортивный товар","Инструменты для обработки кия и наклеек","1","Дефицит товара"
"Товары для курения","Чистящие средства для кальяна","81","Нормальная доступность товара"
"Периферия и аксессуары","Шторки для веб-камер","40","Дефицит товара"
"Спортивный товар","Доски тактические","1","Дефицит товара"
"Дом","Пипетки кулинарные","71","Нормальная доступность товара"
"Строительные материалы","Краски для мебели","63","Нормальная доступность товара"
"Товары для отдыха и кемпинга","Тенты для бассейнов","128","Избыток товара"
"Строительные инструменты","Проекторы отверстий","0","Дефицит товара"
"Здоровье","Мочеприемники","35","Дефицит товара"
"Продукты","Травяные сборы","30","Дефицит товара"
"Посуда и инвентарь","Графины","24","Дефицит товара"
"Строительные инструменты","Формы для облицовочного камня","12","Дефицит товара"
"Здоровье","Пандусы медицинские","38","Дефицит товара"
"Красота","Пульверизаторы парикмахерские","12","Дефицит товара"
"Для праздника","Бенгальские огни","0","Дефицит товара"
"Аксессуары","Парео","117","Нормальная доступность товара"
"Белье для малышей","Термомайки для малышей","999","Избыток товара"
"Все для садоводства","Грядки оцинкованные","3","Дефицит товара"
"Дом","Подушки на стул","21","Дефицит товара"
"Одежда для малышей","Сарафаны для малышей","192","Избыток товара"
"Электроника","Аккумуляторы для квадрокоптеров","24","Дефицит товара"
"Хозяйственные товары","Чехлы для фумигаторов","11","Дефицит товара"
"Строительные инструменты","Коврики для пайки","5","Дефицит товара"
"Автомобильные товары","Крепления для багажника","35","Дефицит товара"
"Продукты","Консервы грибные","33","Дефицит товара"
"Спортивный товар","Турники","19","Дефицит товара"
"Одежда","Болеро","29","Дефицит товара"
"Бытовая техника","Приборы для завивки ресниц","30","Дефицит товара"
"Товары для животных","Бабочки для животных","1","Дефицит товара"
"Продукты","Мальтодекстрин","68","Нормальная доступность товара"
"Одежда","Джеггинсы","52","Дефицит товара"
"Все для садоводства","Ведра садовые","31","Дефицит товара"
"Сантехника","Бордюры для ванны","32","Дефицит товара"
"Товары для животных","Тальк для животных","8","Дефицит товара"
"Садовая техника","Двигатели для садовой техники","9","Дефицит товара"
"Красота","Присыпки","37","Дефицит товара"
"Сетевое оборудование","Усилители интернет-сигнала","20","Дефицит товара"
"Товары для взрослых","Боди эротик","68","Нормальная доступность товара"
"Сантехника","Мойки для кухни","5","Дефицит товара"
"Строительные инструменты","Переключатели давления","9","Дефицит товара"
"Спортивный товар","Альпинистские кошки","0","Дефицит товара"
"Канцелярские товары","Штемпельные подушки","28","Дефицит товара"
"Периферия и аксессуары","Внешние жесткие диски","9","Дефицит товара"
"Спортивный товар","Столы туристические","15","Дефицит товара"
"Здоровье","Катетеры медицинские","17","Дефицит товара"
"Продукты","Пюре быстрого приготовления","19","Дефицит товара"
"Хозяйственные товары","Крахмал для белья","25","Дефицит товара"
"Товары для животных","Ринговки для собак","99","Нормальная доступность товара"
"Автомобильные товары","Автомобильные ароматизаторы","42","Дефицит товара"
"Умный дом и безопасность","Видеодомофоны","13","Дефицит товара"
"Белье","Термоводолазки","82","Нормальная доступность товара"
"Строительные материалы","Проволоки вязальные","24","Дефицит товара"
"Спортивная одежда","Термоколготки спортивные","10","Дефицит товара"
"Продукты","Киви","1","Дефицит товара"
"Спортивный товар","Тренажеры для шеи","31","Дефицит товара"
"Дом","Зажимы для скатерти","157","Избыток товара"
"Продукты","Кэроб","29","Дефицит товара"
"Спортивный товар","Лыжи детские","9","Дефицит товара"
"Техника для кухни","Шестерни для мясорубок","32","Дефицит товара"
"Посуда и инвентарь","Прессы для бургеров","42","Дефицит товара"
"Посуда и инвентарь","Пистолеты-распылители кондитерские","7","Дефицит товара"
"Спортивный товар","Сноускейты","49","Дефицит товара"
"Автомобильные товары","Покрышки автомобильные","8","Дефицит товара"
"Посуда и инвентарь","Ложки поварские","62","Нормальная доступность товара"
"Строительные инструменты","Кабели электрические","13","Дефицит товара"
"Строительные инструменты","Мультиметры","10","Дефицит товара"
"Строительные инструменты","Кабельные чулки","185","Избыток товара"
"Телевизоры и аудиотехника","Усилители телевизионные","14","Дефицит товара"
"Игровые консоли и игры","Держатели для игровых консолей","22","Дефицит товара"
"Бытовая техника","Лампы для светополимеризации","50","Дефицит товара"
"Строительные материалы","Противоскользящие элементы","32","Дефицит товара"
"Товары для отдыха и кемпинга","Щепы для копчения","34","Дефицит товара"
"Продукты","Манго","14","Дефицит товара"
"Ювелирные украшения","Инструменты для ювелирных работ","15","Дефицит товара"
"Спортивный товар","Ракетки","60","Дефицит товара"
"Строительные материалы","Анемостаты","2","Дефицит товара"
"Бытовая техника","Мультистайлеры","14","Дефицит товара"
"Строительные инструменты","Тиски","6","Дефицит товара"
"Аксессуары для обуви","Воск для обуви","30","Дефицит товара"
"Товары для животных","Шлейки","157","Избыток товара"
"Игрушки","Кендамы","6","Дефицит товара"
"Здоровье","Бандажи шейные","50","Дефицит товара"
"Автомобильные товары","Вставки в монтажную головку","706","Избыток товара"
"Хозяйственные товары","Средства от накипи","30","Дефицит товара"
"Продукты","Холодный кофе","8","Дефицит товара"
"Посуда и инвентарь","Шпажки","16","Дефицит товара"
"Здоровье","Подушки противопролежневые","20","Дефицит товара"
"Товары для животных","Бутылочки для животных","151","Избыток товара"
"Одежда для малышей","Ночные сорочки для малышей","413","Избыток товара"
"Здоровье","Ортезы локтевые","79","Нормальная доступность товара"
"Спортивный товар","Прицелы охотничьи","7","Дефицит товара"
"Автомобильные товары","Пылесосы автомобильные","39","Дефицит товара"
"Автомобильные товары","Подлокотники","15","Дефицит товара"
"Автомобильные товары","Лампы автомобильные","24","Дефицит товара"
"Продукты","Воздушный рис","13","Дефицит товара"
"Товары для отдыха и кемпинга","Обустройство бани","27","Дефицит товара"
"Рукоделие","Декор для творчества","22","Дефицит товара"
"Автомобильные товары","Другие автоаксессуары","31","Дефицит товара"
"Здоровье","Тапочки массажные","18","Дефицит товара"
"Товары для взрослых","Галстуки эротик","999","Избыток товара"
"Товары для малышей","Стерилизаторы детские","37","Дефицит товара"
"Строительные инструменты","Заглушки для розеток","56","Дефицит товара"
"Хозяйственные товары","Чехлы для гладильных досок","58","Дефицит товара"
"Аксессуары","Очки глаукомные","71","Нормальная доступность товара"
"Спортивный товар","Петли тренировочные","61","Нормальная доступность товара"
"Садовая техника","Аксессуары для мотобуров","1","Дефицит товара"
"Все для садоводства","Аэраторы для пруда","1","Дефицит товара"
"Оргтехника","Чернила для принтера","17","Дефицит товара"
"Товары для животных","Костюмы для животных","32","Дефицит товара"
"Посуда и инвентарь","Подставки под ложку","28","Дефицит товара"
"Продукты","Хурма","5","Дефицит товара"
"Все для садоводства","Вкладыши в бочку","294","Избыток товара"
"Ювелирная бижутерия","Зажимы ювелирная бижутерия","174","Избыток товара"
"Строительные инструменты","Очки лазерные","44","Дефицит товара"
"Автомобильные товары","Барьеры парковочные","2","Дефицит товара"
"Детское питание","Заменители грудного молока","56","Дефицит товара"
"Товары для животных","Фоны для аквариума","17","Дефицит товара"
"Садовые инструменты","Прореживатели","4","Дефицит товара"
"Красота","Насадки для зубных щеток","33","Дефицит товара"
"Оргтехника","Комплектующие для 3D","11","Дефицит товара"
"Строительные материалы","Саморезы по дереву","9","Дефицит товара"
"Спортивная обувь","Велообувь","185","Избыток товара"
"Ювелирные украшения","Ювелирные чокеры","88","Нормальная доступность товара"
"Для праздника","Елочные украшения","12","Дефицит товара"
"Садовые инструменты","Плодосъемники","85","Нормальная доступность товара"
"Здоровье","Стетоскопы","33","Дефицит товара"
"Красота","Воски для ногтей","35","Дефицит товара"
"Продукты","Чак-чак","4","Дефицит товара"
"Здоровье","Жилеты фиксирующие","267","Избыток товара"
